"","c..sindatos....155A....152A....147A....156C....156A....156D..."
"1","sindatos"
"2","155A"
"3","152A"
"4","147A"
"5","156C"
"6","156A"
"7","156D"
"8","156E"
"9","156B"
"10","158B"
"11","158A"
"12","158C"
"13","147B"
"14","zonaincon"
"15","zonagris"
"16","zonagris/"
"17","128A"
"18","131A"
"19","141A"
"20","138B"
"21","139A"
"22","139B"
"23","140A"
"24","138A"
"25","138C"
"26","142A"
"27","138D"
"28","145A"
"29","146A"
"30","146C"
"31","144B"
"32","144A"
"33","146B"
"34","191A"
"35","184A"
"36","160A"
"37","178B"
"38","178A"
"39","266A"
"40","250"
"41","260A"
"42","263A"
"43","264A"
"44","261A"
"45","261B"
"46","265B"
"47","265A"
"48","263B"
"49","263E"
"50","263D"
"51","263C"
"52","265C"
"53","116A"
"54","110A"
"55","201A"
"56","215A"
"57","212B"
"58","226A"
"59","225A"
"60","229A"
"61","227D"
"62","227B"
"63","227C"
"64","244A"
"65","242A"
"66","237A"
"67","237B"
"68","236A"
"69","230A"
"70","269A"
"71","269B"
"72","274A"
"73","275A"
"74","294A"
"75","291A"
"76","310A"
"77","288A"
"78","283"
"79","295A"
"80","279A"
"81","283A"
"82","328B"
"83","330A"
"84","316A"
"85","316C"
"86","316F"
"87","316H"
"88","316D"
"89","316B"
"90","316I"
"91","316G"
"92","316J"
"93","316E"
"94","326C"
"95","337A"
"96","347A"
"97","349A"
"98","352A"
"99","351A"
"100","360A"
"101","360B"
"102","370A"
"103","397A"
"104","372A"
"105","396A"
"106","402"
"107","401"
"108","328A"
"109","227A"
"110","326B"
